hoi,WEBSITE,API,ADDRESS,KIND
VET,https://explore.vechain.org/,https://explore.vechain.org/accounts/,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,
DOT,https://polkadot.subscan.io/,https://polkadot.webapi.subscan.io/api/v2/scan/search,14VQEfT5bAn8HRSDyPMTMgMJBJ4aZxLmDibEvaJZtn2Vdeuh,
STMX,https://ww7.etherscan.io/,https://ww7.etherscan.io/tokenholdings?a=,0x6C314af837367aEC15505e8D0991377250877D98,
ALGO,https://algoexplorer.io/,https://algoexplorerapi.io/v1/account/,LKPRKQB7MRDGBTF6AQ2RNVGUC6R7HSVS4X7BONIXHY42GUXDVG7SCQD4TI,
SC,https://siastats.info/,https://siastats.info/navigator-api/hash/,9cecac9d191e961b1677ce8d94e18b8ed87dbbc2749f3b03cd133440c187dc3d894dd55e36a9,
VTHO,https://explore.vechain.org/,https://explore.vechain.org/accounts/,0x810ecE4bE4099Ca32a56F6cE32026Df7f9DA18A6,
RNDR,https://ww7.etherscan.io/,https://ww7.etherscan.io/tokenholdings?a=,0x0349923aE2B35FF4f0099869aeea99d1f3FD12a9,
SNX,https://ww7.etherscan.io/,https://ww7.etherscan.io/tokenholdings?a=,0x8dD42769fe0f025C879EB3B0903862Ceb1842555,
XRP,https://xrpscan.com/,https://api.xrpscan.com/api/v1/account/,r3zP2xtUwAQUpgnXqLSVMMhNPumkaiij5r,
HBAR,https://hash-hash.info/,https://hash-hash.info/hh/account/{}/?q=null,0.0.358271,
EGLD,https://explorer.elrond.com/,https://api.elrond.com/accounts/,erd1ym4l5lkc00a9q20vgwf3vpt5waqzdttggdfms0ehr4tg8cktxzpq0kxnax,
HNT,https://explorer.helium.com/,https://helium-api.stakejoy.com/v1/accounts/,14QLjXRXhsN4FcLCiuuxJDjawf2uasWN65jgEr3m1h3iWcQPsWR,
LUNA,https://apeboard.finance/,https://apeboard.finance/dashboard/,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,
MIR,https://apeboard.finance/,https://apeboard.finance/dashboard/,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,
UST,https://apeboard.finance/,https://apeboard.finance/dashboard/,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,
MINE,https://apeboard.finance/,https://apeboard.finance/dashboard/,terra15sla46uw8fax6dmyj3lcsjzerj99uer9alcs0z,
